dataset,sentences,label
amazon,construct headset poor,0
amazon,product excel work better verizon boy cheaper,1
amazon,phone load super,1
amazon,product cost much expect work far better greater eas thing doe,0
amazon,made sturdi,1
amazon,work great,1
amazon,ear bud play music ear,0
amazon,dont wast money,0
amazon,order again,1
amazon,plan use car forget it,0
amazon,found product waaay big,0
amazon,best ive found far ive tri bluetooth best qualiti listen well eas use,1
amazon,im disappoint decis,0
amazon,integr seamless motorola razr phone,1
amazon,buyer bewar could flush money right toilet,0
amazon,definit bargain,1
amazon,price good free ship good purchas,1
amazon,receiv suppos new motorola appar match phone charger,0
amazon,pros good camera nice pictur cool style like black white more,1
amazon,that huge design flaw unless im use correct dont think case,0
amazon,love headset jabra bluetooth headset great recept good ear piec comfort fit,1
amazon,camera although rate impress megapixel render imag fall well expect relat high resolut,0
amazon,purcash car charger work,0
amazon,sound qualiti end excel use headset call wife ask wife use headset call me,1
amazon,phone slim light display beauti,1
amazon,littl geeki think that sex toast rock ooz sex right batteri embed sleek stylish leather case,1
amazon,great product fast ship,1
amazon,absolut great,1
amazon,keyboard nice compromis full qwerti basic cell phone number keypad,1
amazon,got phone around end im complet unhappi it,0
amazon,comfort ear,1
amazon,winner us,1
amazon,setup couldnt simpler,1
amazon,ive tri sever differ earpiec cell phone jabra first ive found fit ear comfort,1
amazon,could get strong enough signal,0
amazon,iam pleas purchas,1
amazon,bad qualiti,0
amazon,get job done,1
amazon,great audio,1
amazon,basic servic bad,0
amazon,work cell phone plug set charger,0
amazon,ive bluetooth week realli like it,1
amazon,bt headset disapoin,0
amazon,small dont even realiz get use it,1
amazon,accompani softwar almost brilliant,1
amazon,headset work great packag nice avoid damag,1
amazon,definit recommend,1
amazon,buyer care,0
amazon,major logitech earbud headset fail,0
amazon,good stuff price,1
amazon,headset work peachi keen,1
amazon,hous get drop coverag upstair coverag basement,0
amazon,voic recognit tremend,1
amazon,wast,0
amazon,sever differ minut call experienc drop area bar,0
amazon,happi item,0
amazon,disappoint,0
amazon,phone take forev charg like hour liter,0
amazon,got phone reccomend relat im glad did,1
amazon,wast time,0
amazon,recept poor,0
amazon,item state includ descript includ,0
amazon,month screen went black sudden,0
amazon,hope more,0
amazon,audio qualiti poor poor,0
amazon,absolut problem headset link blackberri curv,1
amazon,know sound funni seem like sketchi technolog wouldnt work well well work great,1
amazon,ive bought wire headphon sound better these,0
amazon,phone fast send kind messag web brows signific faster previous phone use,1
amazon,nice qualiti build unlik cheap there,1
amazon,item fantast work perfect,1
amazon,love color,1
amazon,w superb,1
amazon,whine internet goe use thing less like it,0
amazon,great charger,1
amazon,essenti communic tool communic,0
amazon,work like charm work got phone,1
amazon,still maintain monkey shouldnt make headphon obvious dont share enough dna copi design human,0
amazon,great valu,1
amazon,doesnt work bougth l c work,0
amazon,look sharp screen nice clear great graphic,1
amazon,doesnt last long,0
amazon,thing hate mode set button side,0
amazon,excel servic,1
amazon,thank wast money,0
amazon,beth audio qualiti poor,0
amazon,igo charger tip realli great,1
amazon,file browser offer option need handsfre great,1
amazon,superb phone great network,1
amazon,connect wife bluetooth motorola hs phone work like charm whether phone pocket case,1
amazon,put latest os v g like slow crawl lock everi while,0
amazon,recogn phone storag devic,0
amazon,like loud buzz overrid convers phone you,0
amazon,dont buy product,0
amazon,ive bluetoooth headset time still comfort way fit ear,0
amazon,sound qualiti good function awesom,1
amazon,phone thorn side realli abhor it,0
amazon,recent problem could stay connect minut disconnect,0
amazon,incred,1
amazon,design flaw,0
amazon,great phone,1
amazon,wast buck,0
amazon,check voic mail night keypad backlight turn second first messag im lost,0
amazon,replac die week,0
amazon,ring tone overal good phone buy,1
amazon,late extrem nice help phone,1
amazon,problem wit hit drop signal more,0
amazon,impress,0
amazon,light weight hard notic there,1
amazon,youll love thin is,1
amazon,bad choic,0
amazon,pleather case doesnt fit,0
amazon,useless phone simpli deaf,0
amazon,color even prettier thought would graphic incred sharp,1
amazon,think good invest,1
amazon,make strang tick nois end call,0
amazon,best electron avail fm transmitt,1
amazon,batteri last hour,0
amazon,great headset impress h,1
amazon,mega pixel camera part phone reason good,1
amazon,ive near year work great me,1
amazon,good transmit audio,1
amazon,send back,0
amazon,bother contact compani dollar product learn lesson bought form onlin anyway,0
amazon,hate earbug avoid phone mean,0
amazon,great price also,1
amazon,rang decent ive abl roam around hous phone live room recept sound qualiti issu,1
amazon,fast servic,1
amazon,would high recommend this,1
amazon,would recommend this,1
amazon,didnt like button felt like would crack use,0
amazon,worst phone ever,0
amazon,im still infatu phone,1
amazon,freez frequent,0
amazon,kind embarrass use look most embarrass child like compani is,0
amazon,simpl lightweight great fit,1
amazon,id expect better consum experi motorola,0
amazon,there horribl tick sound background call never experienc befor,0
amazon,certain comfort function decent,1
amazon,usual dont like headband lightweight doesnt mess hair,1
amazon,im bit disappoint,0
amazon,phone year tell great,0
amazon,order soni ericsson w think work that first use it,0
amazon,batteri complet useless me,0
amazon,big wast time,0
amazon,dont wast one,0
amazon,great sound servic,1
amazon,realli pleas product far,1
amazon,favorit purchas ever,1
amazon,best bluetooth market,1
amazon,authent leather nice shine comfort recommend case,1
amazon,excit get headset thought realli cute,1
amazon,make mistak me,0
amazon,big disappoint calendar sync,0
amazon,phone unus new,0
amazon,worst custom servic ever,0
amazon,addit ear gel provid instruct whatsoev,0
amazon,defeat purpos bluetooth headset,0
amazon,worth everi penni,1
amazon,excel wallet type phone case,1
amazon,nice headphon price work great,1
amazon,internet excruti slow,0
amazon,comfort wear well probabl import aspect use case,1
amazon,fit like glove strong secur durabl,1
amazon,gosh best phone ever had,1
amazon,attract appear good qualiti,1
amazon,love featur form factor,1
amazon,product strong rubber petroleum smell unbear caus return it,0
amazon,poor qualiti servic,0
amazon,cabl look thin flimsi scari,0
amazon,great earpiec,1
amazon,excel hand free tool,1
amazon,great use home stereo,1
amazon,good product incred valu,1
amazon,month work flawless far,1
amazon,work great,1
amazon,absolutel junk,0
amazon,didnt work either,0
amazon,batteri life real good,1
amazon,return hour later,0
amazon,great item,1
amazon,dont wast money,0
amazon,love headset,1
amazon,drain player potenti fri it,0
amazon,work perfect,1
amazon,unreli im give up,0
amazon,gave star sound qualiti,1
amazon,avoid can,0
amazon,revers plug work great,1
amazon,wast littl money earpiec,0
amazon,good phone,1
amazon,best rotat featur help,1
amazon,comfort whole famili,1
amazon,good product good seller,1
amazon,love bluetooth,1
amazon,first doesnt wear well,0
amazon,impress headset plantron,1
amazon,got small ador,1
amazon,wouldnt recommend buy product,0
amazon,piec junk,0
amazon,poor contstruct hing,0
amazon,item great instal let charg overnit work good everi sinc problem,1
amazon,great phone,1
amazon,dont buy it,0
amazon,excel phone,1
amazon,purchas phone,0
amazon,voic recognit thru handset excel,1
amazon,hand best phone ive ever had,1
amazon,work great cat attack phone scratch protect strip instead destroy screen,1
amazon,work price right,1
amazon,custom servic terribl,0
amazon,batteri life still long enough motorola razor v i,0
amazon,send back,0
amazon,know made wise decis,1
amazon,someon shouldv invent sooner,1
amazon,good price,1
amazon,everyth work first tri devic certain engin clever way construct feel good,1
amazon,receiv quick work great,1
amazon,work great,1
amazon,mani peopl complain found headset microphon weak,0
amazon,year old nokia tracfon hold charg lot better this,0
amazon,care consum bit,0
amazon,good batteri got realli fast,1
amazon,instruct manual lack,0
amazon,slim enough fit alarm clock dock station without remov case,1
amazon,phone hold charg like new,1
amazon,batteri unreli well servic use antena,0
amazon,uncomfort sound qualiti quit poor compar phone razr previous wire headset plug lg,0
amazon,gotten lot compliment it,1
amazon,definit must state allow cell phone usag drive,1
amazon,want money back,0
amazon,love devic,1
amazon,happi price,1
amazon,order product first unhappi immedi,0
amazon,ngage still lack earbud,0
amazon,abl voic dial car problem,1
amazon,bar cell phone home cant hear anyth,0
amazon,good item low price,1
amazon,riington best neither game,0
amazon,plug work well,0
amazon,amazon suck,0
amazon,rip charg ship,0
amazon,comfort,1
amazon,batteri work well replac origin came phone year ago,1
amazon,recept excel,1
amazon,fit comfort either ear sound clear loud charg last coupl day,1
amazon,clear qualiti sound dont mess sound ipod sinc sound button headset,1
amazon,long last batteri dont recharg frequentyli flip phone,0
amazon,obvious problem adhes,0
amazon,disappoint,0
amazon,inexpens piec would still expect better qualiti,0
amazon,practic useless add kind boost recept bought it,0
amazon,excel sound qualiti,1
amazon,happi,0
amazon,piec junk broke phone day,0
amazon,new batteri work great phone,1
amazon,worst custom servic,0
amazon,ive drop phone time say even concret phone still great knock wood,1
amazon,recept terribl full static,0
amazon,good audio qualiti,1
amazon,littl devic transform organiz capabl made life whole lot easier,1
amazon,sit vehicl cradl belt headset lost signal,0
amazon,jerk phone,0
amazon,work like charm work advertis,1
amazon,comfort nice rang good batteri life,1
amazon,network coverag los angel horribl,0
amazon,excel starter wireless headset,0
amazon,loudspeak option great bumper light appeal,0
amazon,thing think could improv sound leak headset,0
amazon,first recept suck never bar ever,0
amazon,phone get extrem hot,0
amazon,microphon work well accord peopl call applifi everyth,1
amazon,nice design qualiti,1
amazon,phone drop case go save special drop face down,0
amazon,light easi use clear recept transmiss,1
amazon,bad fit way big,0
amazon,definit good s,1
amazon,awesom devic,1
amazon,wast money,0
amazon,order motorola data cabl got well finish work product,1
amazon,love phone,1
amazon,look headset long time ive got couldnt happier,1
amazon,ill drivng along headset start ring reason,0
amazon,display excel camera good year,1
amazon,batteri life great,1
amazon,worst phone ive ever month,0
amazon,good item work start problem auto revers tape player,0
amazon,embarass ear hurt tri push ear plug ear,0
amazon,protect phone side,1
amazon,averag phone bad batteri life oper weak network,0
amazon,clear skype call long batteri life long rang,1
amazon,soyo technolog suck,0
amazon,great hand free devic,1
amazon,even take self portrait outsid exterior display cool,1
amazon,problem other mention,0
amazon,tri mani mani handsfre gadget final work well,1
amazon,magic help,1
amazon,worst piec crap ever along verizon custom servic,0
amazon,poor sound qualiti,0
amazon,best phone market,1
amazon,work well,1
amazon,compani ship product prompt work well,1
amazon,exact want,1
amazon,pictur resolut far compar price phone offer today,0
amazon,great deal,1
amazon,excel product satisfi purchas,1
amazon,high recommend encourag peopl give tri,1
amazon,better youd expect,1
amazon,use earpiec left right thing stay ear,0
amazon,great product price,1
amazon,sound good reason price effect simpl,1
amazon,still wait im sure item would work well ever reciev it,0
amazon,disappoint,0
amazon,prompt servic,1
amazon,excel product price,1
amazon,pleas headset,1
amazon,dont wast money time,0
amazon,especi love long batteri life,1
amazon,stupid keep buy new charger car charger cradl headphon car kit everi time new phone come out,0
amazon,plantron bluetooth excel buy,1
amazon,came verizon cingulair nicer cell phone first thing notic realli bad servic,0
amazon,ill look new earpiec,0
amazon,high recommend devic everyon,1
amazon,jawbon era awesom too,1
amazon,receiv white color batteri goe dead coupl hoursth origin use last week still last longer thereplac,0
amazon,year batteri went complet dead headset,0
amazon,use sever phone year best,1
amazon,awesom new look fall,1
amazon,first phone ive cheapli made,0
amazon,att clear sound distort yell talk,0
amazon,plastic break realli easi clip,0
amazon,price good too,1
amazon,dont make mistak did,0
amazon,oh forgot mention weird color effect phone,0
amazon,im use iriv spinn case fit fine,1
amazon,area unit broke im fond magnet strap,0
amazon,overal psych phone appoint contact get great recept,1
amazon,everi thing phone work perfect like it,1
amazon,anoth note phone appear realli look rather bland especi black model,0
amazon,realli easi,1
amazon,sanyo surviv dozen drop blacktop without ill effect,1
amazon,fantast earphon,1
amazon,find cell phone right away enter car,1
amazon,low qualiti,0
amazon,high recommend modest price cellular phone,1
amazon,get better recept clariti phone ive befor,1
amazon,warn stay away,0
amazon,wish could return unit get back money,0
amazon,awsom devic work great,1
amazon,use talk hour batteri would liter drain die,0
amazon,dont find bad unit come earpad would recommend anyon,0
amazon,displeas,0
amazon,might gotten defect would risk buy built qualiti alon,0
amazon,made case small difficult instal,0
amazon,restor phone like new perform,1
amazon,would recommend purchas jabra jx seri work flawless moto q go figur,1
amazon,search internet found best valu,1
amazon,fit,0
amazon,happi product,1
amazon,screen size big key pad lit well enough camera qualiti excel camera phone,1
amazon,there realli noth bad say headset,0
amazon,im glad found product amazon hard find wasnt high price,1
amazon,portabl work,1
amazon,colleagu get great recept littl expens perform great,1
amazon,even fulli charg went bed turn blue tooth wi fi notic left morn,0
amazon,ive problem phone read memori card alway turn again,0
amazon,good wear hat sunglass,0
amazon,time shipment qualiti product,1
amazon,nice solid keyboard,1
amazon,well made fit surefir gx perfect,1
amazon,horribl phone,0
amazon,bt batteri junk,0
amazon,would recommend other,1
amazon,cant get softwar work comput,0
amazon,disappoint,0
amazon,poor voic clariti,0
amazon,batteri work great,1
amazon,buyer remors one,0
amazon,disappoint accessoryon,0
amazon,find inexcus probabl return phone perhap chang carrier,0
amazon,look great strong,1
amazon,tmobil servic year pretti happi it,1
amazon,updat procedur difficult cumbersom,0
amazon,disappoint hate anyth goe ear,0
amazon,great softwar motorola,1
amazon,deliveri time,1
amazon,easi use,1
amazon,uncomfort ear dont use lg vx env,0
amazon,volum switch rocket unit destin unknown,0
amazon,hold charg long time reason comfort long wear condit qualiti sound tremend,1
amazon,id like return it,0
amazon,keyboard realli worthwhil use sturdi enough dont expect problem,1
amazon,verizon bill difficult understand even though price plan simpl,0
amazon,charg overnight batteri work great,1
amazon,wont regret it,1
amazon,love phone,1
amazon,disappoint,0
amazon,user friend,0
amazon,unfortun abil actual know receiv call rather import featur phone piti respect,0
amazon,exchang phone even problem,0
amazon,result phone either stuck max volum mute,0
amazon,pda rock,1
amazon,super charg use small hybrid palmtop camera cellphon excel role,1
amazon,would definit recommend jabra bt v look comfort clariti great price,1
amazon,verizon year ago realli like servic,1
amazon,pretti piec junk,0
amazon,plug wrong size,0
amazon,work describ,1
amazon,save money ive item month now,0
amazon,bad purchas,0
amazon,well im satisfi,1
amazon,bose nois cancel amaz import nyc commut,1
amazon,batteri excel bargain,1
amazon,defect crap,0
amazon,would given star abl,0
amazon,wear glass fit fine them,1
amazon,sound qualiti devic unaccept unless realli quiet area almost hear noth,0
amazon,would recommend item anyon,0
amazon,holster arriv match photo ad,0
amazon,great problem all,1
amazon,earlier review note plug charger noth happen,0
amazon,frog phone charm ador eye catch,1
amazon,never know push hard enough right number time function want not,0
amazon,sound clear peopl talk amaz qualiti too,1
amazon,got aluminum case new palm vx work realli well protect handheld perfect far,1
amazon,good product well made,1
amazon,mobil phone tool must have,1
amazon,impress job motorola sturdi phone,1
amazon,receiv order well ship timefram everyth good work order overal excit sourc,1
amazon,phone sturdi waterproof,1
amazon,impress would recommend item anyon,0
amazon,complaint standard sound volum littl low even turn of,0
amazon,thank amazon thing need good price,1
amazon,end slide edg pant back pocket instead,1
amazon,go store bought new nokia phone work great,1
amazon,realli ugli,0
amazon,horribl switch time,0
amazon,nois shield incredi,1
amazon,real improv,0
amazon,razr batteri good buy,1
amazon,keep good work amazon,1
amazon,refus refund replac,0
amazon,unfortun easi accident activ gentl touch button accident touch phone face listen,0
amazon,basic threw money window noth,0
amazon,great case price,1
amazon,took drop inch kitchen counter crack impress laugh,0
amazon,bluetooth rang good day ago left phone trunk got call carri convers without hitch,1
amazon,small sleek impress look practic setup ampl storag place,1
amazon,eargel channel sound direct ear seem increas sound volum clariti,1
amazon,none new one ever quit work proper,0
amazon,glad purchas it,1
amazon,ive miss numer call reason,0
amazon,perhap phone defect peopl cannot hear use this,0
amazon,suck stuff work phone,0
amazon,shift bubbl peel even scratch nothingi couldnt happier new droid,1
amazon,worst softwar ever use could give star would,0
amazon,tri make call exercis frustrat,0
amazon,case flimsi piec plastic front side protect whatsoev,0
amazon,jabra earset happi sound qualiti especi outgo better,1
amazon,love camera realli pretti good qualiti,1
amazon,thank great servic,1
amazon,total packag,1
amazon,seller understand patient would definit buy again,1
amazon,give wirefli star contact cingular inform practic,0
amazon,aggrav,0
amazon,great product price,1
amazon,purchas famili friend enjoy clariti eas use,1
amazon,virgin wireless rock cheap littl phone,1
amazon,none work dont buy it,0
amazon,muddi low qualiti sound case around wire insert poor super glu slid off,0
amazon,pleas dont wast money,0
amazon,im quit satisfi purchas,1
amazon,look good qualiti motorola headset keep look isnt it,0
amazon,plantroninc continu use flaw charger design,0
amazon,disapoint result,0
amazon,cumbersom design,0
amazon,great new packag nice work good problem came less time expect,1
amazon,great product,1
amazon,piec crap,0
amazon,experi terribl fourth bluetooth headset much comfort last jabra hate,0
amazon,fix problem,1
amazon,worst ever,0
amazon,happi,1
amazon,ive troubl access internet download rington perform function,1
amazon,bare ever hear constant say what,0
amazon,batteri life high unaccept,0
amazon,compani joke,0
amazon,everyth descript said would,1
amazon,due happen everi call forc stop use headset,0
amazon,work great car charger especi cannot plug adapt time,1
amazon,verizon tech support walk procedur none work end hard set wipe data,0
amazon,voic qualiti signal strength drop call,0
amazon,play louder speaker size price low would think qualiti lack not,1
amazon,better expect,1
amazon,feel poor construct menus difficult navig button recess difficult push them,0
amazon,batteri hold well,1
amazon,difficult put id recommend avoid product,0
amazon,use day wasnt alway easi hear with,0
amazon,got car charger even week charger broken went plug start smoke,0
amazon,sprint terribl custom servic,0
amazon,link phone without effort,1
amazon,cool,1
amazon,easi use,1
amazon,better new,1
amazon,posses get junk idea,0
amazon,piec trash,0
amazon,pretti good product,1
amazon,great phone,1
amazon,price amazon excel product would high recommend,1
amazon,research develop divis obvious know theyr do,1
amazon,real killer volum cours break,0
amazon,phone work fine now,1
amazon,happi product,1
amazon,poor construct,0
amazon,infuri,0
amazon,overal would recommend phone new walkman,1
amazon,sprint charg servic,0
amazon,cheap feel look cheap,0
amazon,fit ear well comfort on,1
amazon,doesnt work europ asia,0
amazon,clip belt deffinit make feel like cent come,1
amazon,like design look jabra behe ear headset pretti comfort wear hour day without pain ear,1
amazon,amaz quick arriv origin lg cell phone batteri fraction price,1
amazon,worst phone samsung crap crappi samsung e worst ever seeen,0
amazon,charger work week complet stop charg phone,0
amazon,poor product,0
amazon,need better instruct,0
amazon,need hand oper screen softwar interfac decad old cannot compet new softwar design,0
amazon,work well pair treo w skype headset pc use usb bluetooth transceiv,1
amazon,steer clear product go genuin palm replacementr pen come pack,0
amazon,buy buyit suck,0
amazon,great product sure beat use finger,1
amazon,plus serious believ worth steep price point,0
amazon,case ive tri normal fall apart month seem long haul,1
amazon,dissapoint perform,0
amazon,dont make mistak pleas dont buy phone,0
amazon,phone might well worst ive ever brand,0
amazon,case less extra origin put later discard scratch ear,0
amazon,recommend igo anyon differ brand cell phone mp player famili,1
amazon,dont bother go store,0
amazon,post detail comment grey black phone fire red great color,1
amazon,problem item would order need,1
amazon,get pay guess,0
amazon,softwar great job could make rington form exist cds without internet connect,1
amazon,im surpris good qualiti car charger there much review it,1
amazon,fabul,1
amazon,bt headset current good real time game like first person shooter sinc audio delay mess up,0
amazon,use bitpim free program find internet transfer data phone price cabl excel,1
amazon,disappoint accessori good manufactur,0
amazon,perform aw muffl tinni incom sound sever echo end call,0
amazon,wind resist,1
amazon,obvious terribl custom servic get pay for,0
amazon,last forev over expens replac easi oper sound much better other tri,1
amazon,contact compani told although unit still warranti couldnt produc receipt luck,0
amazon,linksi way exchang bad phone refurb unit someth,0
amazon,phone sturdi nokia bar phone are,1
amazon,great phone,1
amazon,place treo case snug lot extra room side,0
amazon,im pleas,1
amazon,batteri terribl,0
amazon,found product easi set use,1
amazon,earpiec larg heavi keep fall ear,0
amazon,utter crap sound qualiti terribl,0
amazon,charger arriv promis timefram work,0
amazon,ear loop need tini sound great,1
amazon,final time spring latch broke could use longer visor,0
amazon,handsfre part work fine car tri download address book treo reboot overal still rate devic high,1
amazon,talk useless custom servic,0
amazon,felt light tinni,0
amazon,fit palm tungsten e broke first time tri plug in,0
amazon,im happi purchas good qualiti low price,1
amazon,love look feel samsung flipphon,1
amazon,well design sharp blue nice color,1
amazon,everyth more,1
amazon,could recommend more,0
amazon,nice sound,1
amazon,look good pictur case huge disappoint,0
amazon,much less jawbon go replac with,1
amazon,setup went smooth,1
amazon,extrem slow take forev anyth it,0
amazon,must studi anyon interest worst sin industri design,0
amazon,first thing happen track off,0
amazon,well made easi access phone handi detach belt clip,1
amazon,continu pair period sinc somehow kept drop,0
amazon,cant upload rington third parti,0
amazon,bluetooth work phone lock screen flash make call random pocket lock,0
amazon,truli aw,0
amazon,work fine motorola cellphon lot better worn batteri did,1
amazon,volum ringer real good choic loud,1
amazon,none tone accept,0
amazon,camera color balanc aw,0
amazon,product clear readi prime time dont care cool look cant tell call come worthless,0
amazon,love rington upbeat,1
amazon,chines forgeri abound,0
amazon,easi pair samsung cell,1
amazon,instruct didnt explain microphon jack could use,0
amazon,would advis purchas item never work well,0
amazon,bad pay month servic,0
amazon,work well,1
amazon,nokia ca usb cabl work phone,0
amazon,clear crisp sound,1
amazon,use smallest earpiec provid stay pretti well,1
amazon,biggest complaint batteri drain superfast,0
amazon,design might ergonom theori could stand ear,0
amazon,buy want use holster,0
amazon,phone take great pictur even video clip,1
amazon,doesnt make look cool,0
amazon,ear occupi background distract all,1
amazon,comfort fit need headset comfort least hour time entir day,1
amazon,phone doesnt seem accept anyth except cbr mp prefer rip window media player,0
amazon,cant beat price these,1
amazon,come strong light use light camera shot even flash sos signal serious,1
amazon,lightweight work well,1
amazon,bewar,0
amazon,love cabl allow connect mini usb devic pc,1
amazon,anyon near hear part convers,0
amazon,cool case open allow screen get scratch up,1
amazon,bought phone replac startac regret sinc,0
amazon,appear actual outperform origin batteri china came v i,1
amazon,cant store anyth phone number sim,0
amazon,last less minut actual tri use phone wife phone problem,0
amazon,poor qualiti,0
amazon,jabra ear gel r best,1
amazon,worth it,0
amazon,phone crash complet get replac,0
amazon,quit work id use month purchas anoth best headset ive ever own,1
amazon,unfortun recharg iphon despit connect multipl power sourc imac extern batteri wall outlet etc,0
amazon,great phone,1
amazon,simpli want small flip phone look elsewher extra bell whistl mediocr,0
amazon,good valu work fine power via usb car wall outlet,1
amazon,phone doesnt slide around car grip prevent phone slip hand,1
amazon,simpli best bluetooth headset sound qualiti,1
amazon,think plan onethi sure last moto phone me,0
amazon,span hour peopl exclaim whoa new phone tv,1
amazon,alway use cord headset freedom wireless help,1
amazon,case pass year mark show sign wear function,1
amazon,leather nice soft fit tight cut face good shape,1
amazon,everyth need couldnt ask more,1
amazon,receiv use product day broke,0
amazon,product great make work lot easier go copier wait hold someth,1
amazon,none size sent headset would stay ear,0
amazon,mobil best custom servic anywher,1
amazon,arriv quick much less expens other sold,1
amazon,tri unit fail month pros,0
amazon,provid good protect look classi too,1
amazon,krussel alway good,1
amazon,tracfonewebsit user friend make easi toactiv etc,1
amazon,design good,1
amazon,great recept time,1
amazon,would high recommend product,1
amazon,couldnt use unit sunglass good texa,0
amazon,dit work time nokia,0
amazon,bought main charger broke soon purchas,0
amazon,fantast buy get whatev next phone is,1
amazon,stay away store care,0
amazon,blueant supertooth hand free phone speaker awesom,1
amazon,item arriv quick work great metro pcs samsung sch r slider phone soni premium sound ear plug,1
amazon,light plenti batteri capac confort wear somewhat extend period time,1
amazon,disappoint,0
amazon,blue ant easi use,1
amazon,cheap hey work pleasant supris given low cost item,1
amazon,camera phone use dustpan indoor id rather use dispos this,0
amazon,day later puff smoke came phone use,0
amazon,conveni simpl use get job done make car ride much smoother,1
amazon,nano state son dissapoint,0
amazon,sound qualiti excel well,1
amazon,best headset use,1
amazon,would reccommend,0
amazon,around year carri highest qualiti anti glare screen protector found date,1
amazon,want,1
amazon,particular model would work motorola q smartphon,0
amazon,wont work right atleast me,0
amazon,addit feel amp look phone lightweight cheap plastic,0
amazon,warranti problem reoccur bottom line put money somewher els cingular support it,0
amazon,realli want plantron right mani issu good,0
amazon,great product,1
amazon,crisp clear,1
amazon,first charg kept go dead minut,0
amazon,cheap plastic creak like old wooden floor,0
amazon,get absolut horribl recept apart phone problem,0
amazon,recept general good,1
amazon,excel sound batteri life inconspicu boot,1
amazon,great bluetooth,1
amazon,high recommend case,1
amazon,worthwhil,1
amazon,phone got year old slowli break despit much care part,0
amazon,sorri made purchas,0
amazon,bought hope could make bluetooth headset fit better thing made imposs wear,0
amazon,treo mobil refus replac forc buy anoth phone without kind upgrad discount,0
amazon,horribl,0
amazon,dont think would hold secur belt,0
amazon,allow possibl doubl book date time first,0
amazon,work week break,0
amazon,simpl use like it,1
amazon,great tool entertain communic data manag oh sure use activesync optim data synchron result,1
amazon,cant use case smell disgust,0
amazon,want,0
amazon,case would order anoth,1
amazon,bought batteri coupon amazon im happi purchas,1
amazon,internet access fine rare instanc work,0
amazon,perfect ps,1
amazon,star plus plus,1
amazon,good qualiti bargain bought bought cheapi big lot sound aw peopl end couldnt hear me,1
amazon,drain,0
amazon,tri talk real loud shout telephon get old still told wasnt great,0
amazon,good work fine,1
amazon,price great deal,1
amazon,great price too,1
amazon,wind complet useless,0
amazon,yes shini front side love it,1
amazon,work,0
amazon,first thought grtting good deal plug phone v c razr,0
amazon,recept headset excel,1
amazon,thumb seller,1
amazon,verizon lg phone work well togeth good recept rang exceed feet line sight,1
